Date,Customer_ID,Product_ID,Quantity,Unit_Price,Sales_Revenue,Product_Description,Product_Category,Product_Line,Raw_Material,Region,Latitude,Longitude
20240317,38,362,2,63.03,126.06,GolfShoes,Menswear,Leathers,Leather,Wakefield,-63.2631765,55.681285
20240313,72,366,10,95.65,956.5,Casual Shirts,Accessories,Shoes,Fabrics,Winchester,54.615280,-148.534144
20240331,45,302,7,24.67,172.69,Shorts,Sports,Shoes,Fabrics,Worcester,-54.633858,135.699474
20240305,91,298,7,51.83,362.81,Pyjamas,Womenswear,Trousers,Cashmere,Truro,-29.345417,-40.720038
20231225,79,300,1,92.31,92.31,GolfShoes,Womenswear,Shoes,Polyester,Winchester,73.1240755,-41.430376
20230627,46,213,8,65.89,527.12,Formal Shirts,Menswear,Leathers,Cotton,Wakefield,4.7195105,113.537570
20240117,37,233,5,47.34,236.7,Ties,Menswear,Tops,Cotton,Winchester,-38.1310155,131.195192
20230902,65,252,1,62.38,62.38,Jeans,Accessories,Trousers,Cashmere,Wakefield,-80.013328,-56.137682
20240227,8,208,8,28.53,228.24,Knitwear,Accessories,Leathers,Wool,Wakefield,33.026619,166.968726
20240412,67,264,8,59.82,478.56,Casual Shirts,Womenswear,Tops,Cotton,Wells,-49.9886735,-129.364389
20230809,72,394,1,55.96,55.96,Coats,Accessories,Tops,Cotton,Truro,-42.899138,97.496135
20240603,34,260,2,66.42,132.84,Shorts,Menswear,Tops,Cashmere,Winchester,-30.222869,35.551509
20230930,69,214,6,71.35,428.1,Knitwear,Womenswear,Trousers,Polyester,Worcester,-69.7056015,-27.353027
20230813,73,333,9,40.14,361.26,Pyjamas,Menswear,Tops,Polyester,Truro,-83.7583635,68.075761
20240513,43,358,7,78.42,548.94,Pyjamas,Womenswear,Shoes,Polyester,Worcester,-70.8875545,-167.925489
20230810,92,271,2,74.04,148.08,Formal Shirts,Accessories,Leathers,Leather,York,26.6327495,76.539898
20231025,34,243,5,77.93,389.65,Cycling Jerseys,Menswear,Trousers,Leather,Winchester,-30.3228135,103.636938
20231222,48,234,1,91.13,91.13,Dress,Womenswear,Trousers,Cotton,Truro,-74.9614775,51.534883
20230826,31,369,1,61.9,61.9,Casual Shirts,Sports,Trousers,Cashmere,Winchester,13.4437075,-0.645351
20231106,4,284,9,91.96,827.64,Suits,Accessories,Trousers,Leather,Winchester,-75.625232,41.162727
20231226,22,250,8,35.74,285.92,Dress,Accessories,Leathers,Polyester,Wells,3.492705,159.377501
20230811,26,236,9,98.8,889.2,Cycling Jerseys,Accessories,Shoes,Polyester,Truro,63.2657695,34.530646
20231230,87,355,4,57.92,231.68,Polo Shirts,Sports,Tops,Leather,Worcester,65.772032,-22.475438
20240411,52,350,3,82.4,247.2,Formal Shirts,Womenswear,Trousers,Fabrics,Winchester,-5.700833,-165.229136
20240523,98,363,6,32.53,195.18,Formal Shirts,Menswear,Leathers,Cotton,Wakefield,-8.846614,85.659205
20240420,51,366,9,58.29,524.61,Pyjamas,Menswear,Leathers,Wool,Truro,-48.7119655,62.128633
20230622,93,318,6,27.71,166.26,Suits,Menswear,Tops,Wool,York,-27.4337585,7.840086
20240610,83,318,2,76.71,153.42,Pants,Accessories,Shoes,Fabrics,York,-76.7782385,36.271332
20230624,77,247,3,26.75,80.25,Formal Shirts,Sports,Shoes,Polyester,Wakefield,23.1567305,-178.679640
20231020,77,352,8,11.22,89.76,Coats,Womenswear,Trousers,Polyester,Worcester,-70.758304,-156.660709
20231213,70,212,1,81.96,81.96,Formal Shirts,Womenswear,Shoes,Leather,York,-75.8257645,90.552282
20240301,67,317,5,21.04,105.2,Polo Shirts,Menswear,Tops,Fabrics,Worcester,4.2759365,-154.798280
20230914,45,353,10,49.61,496.1,Knitwear,Menswear,Tops,Cashmere,Winchester,61.077829,-152.362931
20240421,45,268,4,22.06,88.24,Casual Shirts,Accessories,Leathers,Wool,Truro,-16.820620,174.986421
20240609,7,284,10,15.66,156.6,Pants,Womenswear,Shoes,Leather,Wells,87.279300,96.924950
20230713,96,323,3,47.69,143.07,Polo Shirts,Sports,Leathers,Leather,Winchester,21.2952535,-173.300949
20230802,25,218,5,91.39,456.95,Tshirts,Accessories,Leathers,Cashmere,Worcester,12.4615725,-109.902605
20231104,80,262,9,13.47,121.23,Knitwear,Menswear,Tops,Polyester,Worcester,20.907734,-111.979702
20240327,38,261,10,26.44,264.4,Cycling Jerseys,Menswear,Leathers,Cotton,Worcester,59.5953115,14.235218
20240309,98,202,10,53.17,531.7,Shorts,Sports,Tops,Cashmere,Truro,86.507419,-94.292319
20240513,51,203,9,49.86,448.74,Casual Shirts,Accessories,Tops,Wool,Worcester,41.245920,-43.430420
20231216,72,288,1,33.03,33.03,Polo Shirts,Menswear,Leathers,Polyester,Worcester,76.5523265,-87.894499
20240221,20,364,5,27.3,136.5,Pants,Womenswear,Tops,Cotton,Wakefield,82.2633585,9.907490
20240108,65,238,7,18.63,130.41,Belts,Womenswear,Leathers,Cotton,Worcester,65.228469,121.511109
20240527,77,266,10,89.62,896.2,Pants,Menswear,Shoes,Cashmere,Winchester,-15.7054535,-150.288578
20240114,79,364,8,92.59,740.72,Shorts,Menswear,Trousers,Wool,Worcester,20.6442305,85.368611
20231115,24,333,8,69.33,554.64,Polo Shirts,Sports,Tops,Fabrics,Truro,41.3171535,72.722980
20231023,23,352,8,53.2,425.6,Knitwear,Accessories,Shoes,Leather,Winchester,69.105918,155.316375
20230628,79,394,4,12.83,51.32,Casual Shirts,Womenswear,Trousers,Polyester,Wells,38.984613,-67.857227
20240226,92,282,1,87.94,87.94,Coats,Menswear,Trousers,Leather,Worcester,11.250601,82.832234
20240320,94,205,7,26.52,185.64,Knitwear,Menswear,Trousers,Fabrics,Truro,-50.932591,-68.431799
20240113,98,342,4,49.26,197.04,Knitwear,Accessories,Tops,Cashmere,Worcester,-55.375445,167.699247
20240419,13,339,6,44.38,266.28,Polo Shirts,Sports,Trousers,Fabrics,Truro,82.4122155,18.968547
20240305,89,357,8,42.13,337.04,Tshirts,Womenswear,Tops,Fabrics,Worcester,-24.376789,-46.899476
20240108,63,299,5,42.69,213.45,Casual Shirts,Menswear,Leathers,Fabrics,York,8.591575,179.780526
20230930,80,271,10,93.66,936.6,Formal Shirts,Menswear,Trousers,Cashmere,Truro,80.7322085,-102.686046
20230816,27,246,3,99.55,298.65,Pants,Accessories,Trousers,Cotton,Wakefield,30.309605,37.158841
20230613,29,330,10,13.77,137.7,Knitwear,Womenswear,Leathers,Leather,Worcester,16.137486,-102.408817
20230925,93,234,4,50.76,203.04,Dress,Womenswear,Tops,Cashmere,Winchester,-5.4648945,-22.353221
20231205,26,233,4,94.66,378.64,Tshirts,Womenswear,Tops,Cashmere,Winchester,-10.934385,168.288687
20230620,84,337,1,28.9,28.9,Polo Shirts,Menswear,Leathers,Wool,Worcester,-28.2741875,-149.730490
20230918,11,290,3,17.16,51.48,Underwear,Sports,Trousers,Leather,York,36.2079135,99.432726
20240108,56,355,9,99.55,895.95,Sweats,Menswear,Tops,Polyester,Winchester,-38.6620065,-129.819300
20240603,59,396,3,38.97,116.91,Formal Shirts,Accessories,Trousers,Wool,Wells,34.0192305,-169.675831
20230817,57,270,3,19.03,57.09,Tshirts,Accessories,Tops,Polyester,Wells,65.7596105,-178.961267
20230814,19,370,5,21.57,107.85,GolfShoes,Sports,Tops,Polyester,York,-7.024610,37.885933
20230720,90,332,5,32.51,162.55,Knitwear,Menswear,Leathers,Wool,Wells,79.672187,-2.818527
20230916,95,373,4,72.96,291.84,Formal Shirts,Womenswear,Leathers,Wool,Winchester,86.420151,13.014083
20231010,90,396,7,15.08,105.56,Pyjamas,Sports,Tops,Leather,Wells,44.6986495,38.569977
20240103,18,343,5,25.59,127.95,Ties,Sports,Leathers,Leather,Winchester,-22.4147735,-32.768317
20240320,58,328,1,61.46,61.46,Shorts,Sports,Trousers,Cashmere,York,-38.922611,-149.615765
20240405,33,259,6,12.72,76.32,GolfShoes,Accessories,Tops,Fabrics,Worcester,-13.751630,30.088334
20230825,48,309,9,78.24,704.16,Formal Shirts,Womenswear,Tops,Polyester,Winchester,-68.5897055,34.999329
20230701,9,296,10,53.32,533.2,Jeans,Accessories,Leathers,Cotton,Truro,-1.5179435,92.621443
20230625,67,233,4,25.63,102.52,Pants,Sports,Trousers,Cashmere,Wells,75.0924075,59.399053
20240601,20,328,1,91.09,91.09,Jeans,Accessories,Leathers,Cashmere,Wakefield,-77.105010,41.979305
20240406,64,342,7,79.51,556.57,Polo Shirts,Menswear,Leathers,Cashmere,Winchester,23.3764585,-105.772872
20230623,96,374,6,70.15,420.9,Coats,Accessories,Shoes,Fabrics,Winchester,-3.988866,28.372583
20240222,50,387,9,39.61,356.49,Ties,Accessories,Leathers,Wool,Winchester,-72.011622,-17.737072
20230720,71,400,10,23.83,238.3,Belts,Womenswear,Leathers,Cotton,Worcester,63.4552105,167.890956
20230705,39,282,2,88.43,176.86,Pants,Menswear,Shoes,Wool,Wells,-1.2114935,131.325518
20240202,51,226,5,34.26,171.3,Shorts,Accessories,Leathers,Fabrics,Wakefield,-84.2411005,126.059484
20231216,36,359,3,82.95,248.85,Pants,Sports,Trousers,Cotton,Wells,-89.566087,-39.343317
20230905,55,340,1,40.48,40.48,Pyjamas,Accessories,Leathers,Leather,Truro,81.503260,-62.443215
20231018,57,256,8,35.54,284.32,Formal Shirts,Womenswear,Trousers,Fabrics,Winchester,-64.8117205,87.640443
20231019,57,250,5,82.15,410.75,Jeans,Womenswear,Shoes,Fabrics,Wakefield,-8.102766,-17.836864
20231005,69,389,2,22.95,45.9,Knitwear,Womenswear,Trousers,Polyester,York,-24.382733,-82.989015
20230812,25,369,2,56.72,113.44,GolfShoes,Sports,Tops,Leather,Wells,53.5586105,9.824256
20230724,89,227,10,73.42,734.2,GolfShoes,Accessories,Leathers,Cashmere,Wells,-42.212190,-63.472997
20231024,18,234,9,46.93,422.37,Dress,Womenswear,Tops,Wool,Wells,-76.648353,-2.148164
20240525,59,348,1,20.69,20.69,Knitwear,Menswear,Trousers,Cotton,Wells,75.292586,-149.172726
20230930,86,387,3,40.28,120.84,Suits,Menswear,Trousers,Fabrics,Winchester,-66.7926155,-83.915572
20240130,74,240,1,63.09,63.09,Sweats,Sports,Leathers,Leather,Worcester,21.4852025,154.723793
20240518,34,207,6,76.44,458.64,Jeans,Menswear,Shoes,Cotton,Worcester,-0.644556,-28.881956
20240302,75,251,2,57.29,114.58,Formal Shirts,Menswear,Trousers,Polyester,Winchester,-20.746382,-50.596730
20230914,70,272,8,19.95,159.6,Formal Shirts,Womenswear,Trousers,Cotton,Worcester,-39.3839605,13.534306
20230704,8,213,2,25.05,50.1,Pyjamas,Accessories,Trousers,Cotton,Wakefield,-28.091178,92.032025
20230625,40,281,2,82.53,165.06,Belts,Womenswear,Shoes,Leather,Winchester,37.9054345,-158.855618
20240211,68,354,3,26.5,79.5,Coats,Accessories,Tops,Leather,Worcester,66.254143,177.889378
20230709,78,209,10,79.53,795.3,Pyjamas,Menswear,Trousers,Wool,Wakefield,3.411077,-26.915155
20230908,47,381,4,94.6,378.4,Tshirts,Sports,Trousers,Cashmere,York,-64.723653,17.947183
20240606,30,281,10,60.48,604.8,Knitwear,Womenswear,Trousers,Fabrics,York,-64.687869,85.278799
20230707,72,334,6,44.36,266.16,GolfShoes,Sports,Tops,Wool,Worcester,-2.296445,-137.902564
20240121,23,246,9,78.41,705.69,Shorts,Accessories,Leathers,Wool,Worcester,5.7167355,15.174235
20230712,70,341,9,40.33,362.97,Casual Shirts,Accessories,Trousers,Cashmere,Worcester,60.8302725,-134.439086
20240114,46,281,4,18.46,73.84,Coats,Accessories,Tops,Fabrics,Truro,-22.5880495,-132.906980
20240604,52,346,1,36.28,36.28,Polo Shirts,Accessories,Leathers,Cotton,Truro,73.4233205,-76.042944
20230716,95,301,10,28.28,282.8,Knitwear,Menswear,Tops,Cotton,Wells,88.2435045,122.994114
20231110,6,363,7,75.58,529.06,Suits,Menswear,Trousers,Wool,Wakefield,22.8956265,13.261790
20231109,58,222,5,60.29,301.45,Pants,Sports,Leathers,Fabrics,Wells,83.4875825,-132.462855
20230816,8,288,1,28.76,28.76,Formal Shirts,Womenswear,Trousers,Wool,Winchester,-39.0093845,-42.505377
20240118,57,294,8,37.29,298.32,Knitwear,Sports,Shoes,Fabrics,Wakefield,62.305328,-83.169222
20240328,4,201,7,12.2,85.4,Pants,Womenswear,Tops,Leather,Winchester,-65.6813995,-167.493590
20240317,55,229,9,34.59,311.31,Coats,Menswear,Tops,Polyester,Worcester,-85.488734,98.407762
20231203,96,375,7,69.23,484.61,Ties,Menswear,Leathers,Wool,Worcester,12.414244,-84.756404
20230723,72,278,5,65.88,329.4,Pants,Sports,Leathers,Cotton,Worcester,9.8539665,0.542279
20240124,3,227,3,57.39,172.17,Suits,Womenswear,Trousers,Leather,Worcester,-65.4872225,-12.344564
20231204,100,289,6,70.99,425.94,Dress,Womenswear,Tops,Wool,Worcester,38.5183115,82.613460
20231216,85,208,8,50.01,400.08,Belts,Womenswear,Tops,Leather,Wakefield,87.3523625,-99.813708
20240120,21,306,9,61.54,553.86,Formal Shirts,Sports,Leathers,Fabrics,Wells,-74.000646,-56.883927
20240423,45,285,3,87.47,262.41,Shorts,Womenswear,Trousers,Polyester,Worcester,-33.355986,57.468425
20240218,62,299,4,49.64,198.56,Formal Shirts,Accessories,Leathers,Wool,Wells,-70.852806,37.764811
20240331,40,275,7,66.94,468.58,Knitwear,Sports,Tops,Cotton,Truro,-78.992759,101.685239
20230616,65,361,1,48.36,48.36,GolfShoes,Accessories,Shoes,Polyester,Winchester,18.0844445,45.102903
20240130,94,352,10,12.02,120.2,Casual Shirts,Menswear,Trousers,Cotton,Worcester,31.9196135,-138.925371
20240223,41,201,5,48.22,241.1,Ties,Accessories,Trousers,Polyester,Wakefield,-17.324949,123.076656
20240125,75,341,5,83.84,419.2,Ties,Womenswear,Trousers,Fabrics,Winchester,-47.5815985,164.714173
20230903,47,338,6,42.62,255.72,Knitwear,Sports,Leathers,Cashmere,Wakefield,24.467037,117.502028
20230820,56,376,7,65.58,459.06,Ties,Sports,Trousers,Fabrics,Wells,-9.874937,-3.825270
20231130,49,254,3,60.2,180.6,Underwear,Sports,Shoes,Wool,Truro,-7.3318035,-163.151290
20240414,18,286,1,22.08,22.08,Knitwear,Accessories,Shoes,Polyester,York,1.239438,108.512512
20231231,40,364,6,81.83,490.98,GolfShoes,Sports,Shoes,Leather,Worcester,-34.375218,-135.103583
20240514,75,249,2,37.5,75.0,Casual Shirts,Menswear,Trousers,Polyester,Winchester,53.855015,66.310304
20230718,74,208,3,32.19,96.57,Knitwear,Menswear,Shoes,Fabrics,Worcester,-25.882579,10.486756
20231205,60,350,2,62.71,125.42,Casual Shirts,Menswear,Leathers,Wool,Wakefield,83.7991235,-93.681013
20240422,47,257,10,39.21,392.1,Polo Shirts,Sports,Trousers,Fabrics,Wells,50.542455,-22.642042
20230912,80,374,10,65.89,658.9,Cycling Jerseys,Menswear,Shoes,Leather,Winchester,-84.0238885,116.076647
20231018,19,383,4,32.29,129.16,Pants,Menswear,Tops,Cotton,York,-86.838187,40.697495
20240102,82,357,7,48.42,338.94,Formal Shirts,Sports,Tops,Fabrics,York,-85.6767635,-178.523656
20230702,60,260,7,82.79,579.53,Formal Shirts,Menswear,Shoes,Cashmere,Wakefield,11.7353065,-81.931732
20230812,39,240,9,14.56,131.04,Knitwear,Accessories,Trousers,Cotton,Worcester,49.412563,9.389693
20231229,4,323,10,90.6,906.0,Coats,Accessories,Trousers,Polyester,Wells,-54.490861,-40.929322
20231019,60,297,6,92.71,556.26,Tshirts,Menswear,Shoes,Leather,Winchester,-87.5694525,137.247907
20230802,38,261,4,41.72,166.88,Cycling Jerseys,Accessories,Leathers,Fabrics,Truro,12.370132,-149.444051
20230927,55,357,8,22.27,178.16,Casual Shirts,Womenswear,Trousers,Leather,Worcester,-54.988262,123.348203
20230901,49,315,3,76.46,229.38,Knitwear,Sports,Trousers,Wool,Winchester,29.5237305,112.647432
20240109,53,235,2,63.12,126.24,Tshirts,Womenswear,Tops,Polyester,Worcester,66.259443,50.370512
20230911,74,201,6,81.76,490.56,Jeans,Menswear,Shoes,Cashmere,Wells,10.701943,107.825820
20230718,55,320,5,61.85,309.25,Knitwear,Accessories,Tops,Cotton,Wakefield,-70.7021875,153.442234
20230614,86,251,10,92.42,924.2,Coats,Womenswear,Leathers,Cashmere,Wakefield,7.499113,-136.666488
20231014,34,398,9,27.75,249.75,Jeans,Womenswear,Leathers,Leather,Wakefield,-84.2225415,-99.428232
20240527,12,255,10,87.49,874.9,Pants,Menswear,Shoes,Leather,Truro,-6.800783,-164.812274
20230913,63,372,4,72.39,289.56,Pants,Menswear,Tops,Polyester,Wakefield,12.472796,84.109783
20230921,59,347,6,21.01,126.06,Casual Shirts,Accessories,Leathers,Cashmere,Worcester,55.3425815,66.647719
20231213,2,310,10,53.05,530.5,Formal Shirts,Accessories,Leathers,Polyester,Wells,31.3055715,38.751593
20230724,15,305,3,55.54,166.62,GolfShoes,Menswear,Leathers,Fabrics,Worcester,48.8852875,-9.333719
20231028,23,230,8,85.68,685.44,Formal Shirts,Menswear,Leathers,Cotton,Truro,84.653622,-164.284035
20240515,14,323,7,61.38,429.66,Pants,Accessories,Trousers,Polyester,Winchester,-7.377156,-35.347859
20240409,60,294,9,47.64,428.76,Pants,Sports,Tops,Fabrics,York,25.6103785,123.048462
20240214,87,325,10,68.51,685.1,Knitwear,Accessories,Shoes,Polyester,Wakefield,48.157472,152.229967
20230905,13,288,3,60.69,182.07,Tshirts,Accessories,Shoes,Cotton,Winchester,6.562045,-96.904583
20240401,12,389,1,43.54,43.54,Formal Shirts,Accessories,Trousers,Fabrics,Wells,77.9742785,-134.865231
20231109,12,215,5,26.13,130.65,Jeans,Accessories,Tops,Polyester,Winchester,63.8072685,89.104119
20240117,99,302,8,10.74,85.92,Casual Shirts,Menswear,Trousers,Leather,Winchester,-17.2373165,-59.654515
20240207,27,310,8,52.48,419.84,Sweats,Womenswear,Shoes,Leather,York,-65.696218,158.669183
20240126,5,364,1,83.13,83.13,Knitwear,Menswear,Tops,Wool,Wells,-43.749771,103.273387
20231018,26,332,5,62.87,314.35,Shorts,Sports,Leathers,Leather,Wells,30.5519765,-44.203703
20240403,92,326,5,91.6,458.0,Shorts,Womenswear,Leathers,Fabrics,Winchester,-83.218782,-121.530643
20230912,85,251,6,42.62,255.72,Casual Shirts,Womenswear,Tops,Fabrics,Wells,-51.175427,157.291611
20240318,65,278,4,35.11,140.44,Pants,Womenswear,Tops,Cotton,Wells,76.1781955,-102.771207
20230714,42,251,5,19.67,98.35,Formal Shirts,Accessories,Shoes,Cashmere,Wakefield,-35.8966845,4.828901
20230724,17,280,7,97.07,679.49,Casual Shirts,Menswear,Leathers,Cashmere,Winchester,43.020285,-157.300041
20240112,65,221,7,50.75,355.25,Casual Shirts,Menswear,Trousers,Cotton,Winchester,-12.018665,-70.863081
20230714,90,254,9,13.76,123.84,Polo Shirts,Sports,Trousers,Cashmere,York,-19.2786695,76.128865
20240321,79,247,3,64.61,193.83,Pyjamas,Sports,Trousers,Cashmere,Winchester,83.6873825,-17.779843
20240109,66,380,4,25.85,103.4,Knitwear,Accessories,Shoes,Leather,Truro,-67.320892,-133.827590
20240207,87,399,4,55.08,220.32,Cycling Jerseys,Menswear,Trousers,Cashmere,Worcester,-21.1160245,-151.907386
20240429,66,228,8,79.66,637.28,Knitwear,Menswear,Shoes,Leather,Winchester,-29.6471035,-157.602989
20240428,38,393,1,96.01,96.01,Formal Shirts,Menswear,Tops,Cotton,Truro,70.838982,-1.963295
20240529,17,350,3,94.73,284.19,Formal Shirts,Sports,Leathers,Cotton,Truro,-41.955496,164.057587
20240321,53,286,10,52.77,527.7,Suits,Womenswear,Shoes,Fabrics,York,-43.926552,171.548374
20240419,71,259,9,61.85,556.65,Casual Shirts,Accessories,Tops,Cotton,Truro,-6.176096,-20.085596
20230827,22,307,1,31.89,31.89,Knitwear,Womenswear,Shoes,Fabrics,York,52.476036,62.112692
20240508,48,354,4,26.87,107.48,Casual Shirts,Accessories,Tops,Polyester,Worcester,-22.120492,-95.469356
20231101,32,225,10,76.38,763.8,Belts,Accessories,Shoes,Fabrics,York,-0.5383615,115.123639
20231224,15,262,6,27.61,165.66,GolfShoes,Accessories,Tops,Leather,Truro,86.856351,59.536973
20240225,85,296,10,55.06,550.6,Formal Shirts,Menswear,Trousers,Wool,Wakefield,19.5935305,147.456380
20230804,99,383,1,20.18,20.18,Polo Shirts,Womenswear,Trousers,Polyester,Wells,-68.088252,119.094532
20240201,79,282,2,94.46,188.92,Sweats,Accessories,Shoes,Cashmere,Wakefield,35.1182725,-29.427217
20231026,74,234,4,43.62,174.48,Polo Shirts,Womenswear,Leathers,Cashmere,Wakefield,1.5819785,58.454644
20231115,89,204,2,74.3,148.6,Pants,Womenswear,Tops,Fabrics,Worcester,-66.318959,-161.659251
20240427,78,330,9,32.56,293.04,Polo Shirts,Menswear,Shoes,Fabrics,Worcester,-44.452248,165.470168
20230701,41,276,8,82.06,656.48,Pants,Sports,Trousers,Cotton,Wells,-64.929189,-49.641513
20230824,45,290,9,51.48,463.32,Casual Shirts,Accessories,Shoes,Polyester,Truro,67.7055285,-84.526192
20231026,42,351,4,38.89,155.56,Tshirts,Womenswear,Leathers,Leather,Worcester,-29.985878,-134.117649
20240328,14,278,1,81.21,81.21,Pyjamas,Sports,Tops,Wool,Wakefield,-57.0760175,-3.012504
20230628,40,200,6,28.68,172.08,Pants,Sports,Shoes,Cotton,Wakefield,21.222981,-165.182290
20240402,4,281,3,40.53,121.59,Pants,Menswear,Tops,Cashmere,Wells,-81.4974595,17.709754
20240523,86,322,3,50.77,152.31,Casual Shirts,Accessories,Shoes,Leather,Worcester,-68.6678105,-93.260305
20240312,41,229,5,86.74,433.7,Dress,Womenswear,Shoes,Cashmere,York,-65.714965,111.798918
20231216,88,218,5,62.92,314.6,Casual Shirts,Accessories,Leathers,Fabrics,York,-55.2112345,-34.835956
20230716,30,378,7,23.05,161.35,Formal Shirts,Sports,Trousers,Polyester,Worcester,-33.6971775,160.652693
20240207,39,371,1,50.78,50.78,Pants,Accessories,Trousers,Cotton,Wakefield,-70.9675385,108.483416
20231005,71,207,3,37.63,112.89,Polo Shirts,Menswear,Trousers,Wool,Wakefield,-33.9492465,-21.837695
20231206,54,381,7,16.16,113.12,Pants,Sports,Tops,Polyester,York,-54.7188465,-9.756468
20240312,92,288,4,19.45,77.8,Ties,Sports,Shoes,Cashmere,Truro,20.641519,-29.044404
20230702,80,293,3,18.9,56.7,Casual Shirts,Sports,Trousers,Polyester,Wells,89.298884,104.079411
20230717,70,325,1,66.58,66.58,Sweats,Womenswear,Trousers,Cashmere,Wells,-6.9764635,26.219092
20240213,88,336,7,15.4,107.8,Formal Shirts,Womenswear,Tops,Fabrics,Wells,-85.3805235,123.509435
20240411,79,292,1,85.36,85.36,Polo Shirts,Womenswear,Shoes,Fabrics,Winchester,-89.107877,60.454420
20231203,79,229,10,63.33,633.3,Formal Shirts,Womenswear,Tops,Fabrics,Wakefield,-38.145343,20.269964
20231121,13,228,4,71.84,287.36,Knitwear,Womenswear,Leathers,Leather,Wells,82.2666755,-30.395025
20230612,56,351,4,59.57,238.28,Polo Shirts,Sports,Tops,Fabrics,Wells,58.681951,-59.702081
20230816,5,327,7,93.34,653.38,Polo Shirts,Sports,Leathers,Cashmere,York,0.3643995,-164.762326
20240315,49,269,7,52.01,364.07,Shorts,Womenswear,Leathers,Leather,York,-31.847932,57.700232
20240121,88,294,9,46.06,414.54,Knitwear,Menswear,Trousers,Leather,York,73.7819595,106.420365
20240124,6,257,10,91.61,916.1,Casual Shirts,Accessories,Leathers,Polyester,Winchester,-5.5895255,-120.996366
20230920,80,232,5,81.47,407.35,Pants,Womenswear,Shoes,Cotton,Wakefield,74.903727,-131.781900
20240401,100,204,5,86.98,434.9,GolfShoes,Accessories,Shoes,Cashmere,Truro,68.2042255,-123.691571
20240108,15,243,3,21.55,64.65,Shorts,Womenswear,Leathers,Cashmere,Winchester,-6.8116825,122.811522
